Participant Type,Program Name,Survey Type,Understanding
Senior,West BLUES,Pre,
Senior,West BLUES,Pre,
Senior,West BLUES,Pre,
Senior,West BLUES,Pre,
Senior,West BLUES,Pre,
Senior,West BLUES,Pre,
Senior,West BLUES,Pre,
Senior,West BLUES,Pre,
Senior,West BLUES,Pre,
Senior,West BLUES,Pre,
Young,West BLUES,Pre,No
Young,West BLUES,Pre,No
Young,West BLUES,Pre,No
Young,West BLUES,Pre,Yes
Young,West BLUES,Pre,No
Young,West BLUES,Pre,No
Young,West BLUES,Pre,Yes
Young,West BLUES,Pre,Yes
Young,West BLUES,Pre,No
Young,West BLUES,Pre,Yes
Young,West BLUES,Pre,No
Young,West BLUES,Post,No
Young,West BLUES,Post,No
Young,West BLUES,Post,No
Young,West BLUES,Post,No
Young,West BLUES,Post,No
Young,West BLUES,Post,No
Young,West BLUES,Post,No
Young,West BLUES,Post,No
Young,West BLUES,Post,No
Young,West BLUES,Post,No
Young,West BLUES,Post,No
Senior,West R&B,Pre,
Senior,West R&B,Pre,
Senior,West R&B,Pre,
Senior,West R&B,Pre,
Senior,West R&B,Pre,
Senior,West R&B,Pre,
Senior,West R&B,Pre,
Senior,West R&B,Pre,
Senior,West R&B,Pre,
Senior,West R&B,Pre,
Young,West R&B,Pre,No
Young,West R&B,Pre,No
Young,West R&B,Pre,No
Young,West R&B,Pre,Yes
Young,West R&B,Pre,
Young,West R&B,Pre,No
Young,West R&B,Pre,Yes
Young,West R&B,Pre,No
Young,West R&B,Pre,Yes
Young,West R&B,Pre,No
Senior,West R&B,Post,
Senior,West R&B,Post,
Senior,West R&B,Post,
Senior,West R&B,Post,
Senior,West R&B,Post,
Senior,West R&B,Post,
Senior,West R&B,Post,
Senior,West R&B,Post,
Senior,West R&B,Post,
Senior,West R&B,Post,
Senior,West R&B,Post,
Young,West R&B,Post,Yes
Young,West R&B,Post,No
Young,West R&B,Post,No
Young,West R&B,Post,No
Young,West R&B,Post,No
Young,West R&B,Post,No
Young,West R&B,Post,No
Young,West R&B,Post,No
Young,West R&B,Post,No
Young,LHA,Pre,Yes
Young,LHA,Pre,Yes
Young,LHA,Pre,Yes
Young,LHA,Pre,yes
Young,LHA,Pre,No
Senior,LHA,Pre,
Senior,LHA,Pre,
Senior,LHA,Pre,
Senior,LHA,Pre,
Senior,LHA,Pre,
Senior,LHA,Pre,
Senior,LHA,Pre,
Young,LHA,Post,No
Young,LHA,Post,No
Young,LHA,Post,No
Young,LHA,Post,No
Young,LHA,Post,No
Senior,LHA,Post,
Senior,LHA,Post,
Senior,LHA,Post,
Senior,LHA,Post,
Young,Our Homes,Pre,Yes
Young,Our Homes,Pre,No
Young,Our Homes,Pre,No
Young,Our Homes,Pre,Yes
Young,Our Homes,Pre,No
Young,Our Homes,Pre,Yes
Senior,Our Homes,Pre,
Young,Our Homes,Post,No
Young,Our Homes,Post,Yes
Young,Our Homes,Post,No
Young,Our Homes,Post,Yes
Young,Our Homes,Post,No
Young,Our Homes,Post,No
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Senior,Our Homes,Post,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Young,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Senior,Strands of Widom,Pre,
Young,Strands of Widom,Post,No
Young,Strands of Widom,Post,No
Young,Strands of Widom,Post,No
Young,Strands of Widom,Post,No
Young,Strands of Widom,Post,No
Young,Strands of Widom,Post,No
Young,Strands of Widom,Post,No
Young,Strands of Widom,Post,No
Young,Strands of Widom,Post,Yes
Young,Strands of Widom,Post,No
Young,Strands of Widom,Post,No
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
Senior,Strands of Widom,Post,
